variable,correlation,p_value,corrected_p_value,significant
governance_score,0.6133459814745361,1.8754283126127545e-16,1.8754283126127545e-16,True
corruption_score,-0.5761878853561004,2.7536161238160284e-14,2.7536161238160284e-14,True
vulnerability_total,0.5520242131246388,5.111183130957341e-13,5.111183130957341e-13,True
democracy_score,-0.5176764994422981,2.2153116051671968e-11,2.2153116051671968e-11,True
inequality_score,0.41794818664215894,1.5296364459407598e-07,1.5296364459407598e-07,True
gdp_per_capita,-0.4167431118404241,1.674337203837958e-07,1.674337203837958e-07,True
basic_needs_score,0.4062076062396404,3.6355208599463155e-07,3.6355208599463155e-07,True
government_response_total,-0.38652795052992517,1.4432988228592575e-06,1.4432988228592575e-06,True
lfpr_female,-0.3770502464095235,2.71768024637008e-06,2.71768024637008e-06,True
justice_score,-0.36571935644212816,5.644645492046424e-06,5.644645492046424e-06,True
victim_support_score,-0.36075616013915546,7.708023066157394e-06,7.708023066157394e-06,True
lfpr_total,-0.3259437924040248,5.9510885006716096e-05,5.9510885006716096e-05,True
risk_address_score,-0.29775519024645547,0.00026222920577448876,0.00026222920577448876,True
coordination_score,-0.23252739330463884,0.004738280912530176,0.004738280912530176,True
migration_rate,-0.22785662625958705,0.005674521270048527,0.005674521270048527,True
conflict_score,0.21839731272823087,0.008090484419255228,0.008090484419255228,True
supply_chain_score,-0.16829068601610844,0.04230665332346853,0.04230665332346853,True
lfpr_male,-0.1361825148450694,0.1012131405626179,0.1012131405626179,False
